original_title,budget,revenue,runtime,vote_count,evaluation
The Help,25000000,124272124,146,1910,bien
The Lion King,45000000,788241776,89,5376,bien
The Little Prince,64000000,97571250,92,756,bien
L.A. Confidential,35000000,126216940,138,1310,bien
Into the Wild,15000000,56255142,148,3045,bien
Eternal Sunshine of the Spotless Mind,20000000,72258126,108,3652,bien
The Princess Bride,16000000,30857814,98,1486,bien
Inside Job,2000000,7871522,109,286,bien
The Shawshank Redemption,25000000,28341469,142,8205,bien
Gladiator,10300000000,46536117600,155,18270,bien
The Prestige,40000000,109676311,130,4391,bien
Some Like It Hot,2883848,25000000,122,808,bien
Monty Python and the Holy Grail,400000,5028948,91,1708,bien
Whiplash,3300000,13092000,105,4254,bien
Spotlight,20000000,88346473,128,2686,bien
Shutter Island,80000000,294804195,138,6336,bien
Room,6000000,35401758,117,2757,bien
Moonrise Kingdom,16000000,68263166,94,1662,bien
Gone Girl,61000000,369330363,145,5862,bien
The Wild Bunch,6244087,638641,145,259,bien
The Sting,5500000,159616327,129,622,bien
The Matrix,63000000,463517383,136,8907,bien
Requiem for a Dream,4500000,7390108,102,2443,bien
Judgment at Nuremberg,3000000,10000000,186,155,bien
Hoop Dreams,700000,7830611,171,87,bien
How to Train Your Dragon 2,145000000,609123048,102,3106,bien
The Big Lebowski,15000000,46189568,117,2926,bien
Catch Me If You Can,52000000,352114312,141,3795,bien
もののけ姫,26500000,159375308,134,1983,bien
C'era una volta il West,5000000,5321508,175,1128,bien
Harry Potter and the Prisoner of Azkaban,130000000,789804554,141,5877,bien
Before Sunrise,2500000,5535405,105,959,bien
Saving Private Ryan,70000000,481840909,169,5048,bien
Braveheart,72000000,210000000,177,3336,bien
Edge of Tomorrow,178000000,370541256,113,4858,bien
The Departed,90000000,289847354,151,4339,bien
The Dark Knight Rises,250000000,1084939099,165,9106,bien
Mystic River,25000000,156822020,138,1422,bien
Rebecca,1288000,6000000,130,336,bien
Jagten,3800000,16800000,115,927,bien
The Lord of the Rings: The Two Towers,79000000,926287400,179,7487,bien
Interstellar,165000000,675120017,169,10867,bien
