original_title,budget,revenue,runtime,vote_count,evaluation
Avatar,237000000,2787965087,162,11800,moyen
Pirates of the Caribbean: At World's End,300000000,961000000,169,4500,moyen
Spectre,245000000,880674609,148,4466,moyen
The Dark Knight Rises,250000000,1084939099,165,9106,bien
John Carter,260000000,284139100,132,2124,moyen
Insidious: Chapter 3,10000000,104303851,97,983,moyen
The Last Dragon,10000000,25754284,108,69,moyen
The Lawnmower Man,10000000,32101000,108,197,moyen
Nick and Norah's Infinite Playlist,9000000,32973937,89,379,moyen
Dogma,10000000,30652890,130,823,moyen
Deadpool & Wolverine,200000000,1317173104,128,3160,bien
The Crow,50000000,13690814,111,424,moyen
Inside Out 2,200000000,1682636477,97,3906,bien
It Ends with Us,25000000,334836337,131,562,moyen
Despicable Me 4,100000000,948140610,94,1767,moyen
The Substance,17500000,3225810,141,154,moyen
Beetlejuice Beetlejuice,100000000,331185526,105,724,moyen
Blink Twice,20000000,43555474,103,439,moyen
Borderlands,115000000,30863794,101,613,moyen
Hounds of War,0,0,94,48,moyen
Fight Club,6300000000,10085375300,139,29148,bien
Gladiator,10300000000,46536117600,155,18270,bien
A History of Violence,3200000000,6074082700,95,3167,moyen
Avatar,237000000,2787965087,162,11800,moyen
Pirates of the Caribbean: At World's End,300000000,961000000,169,4500,moyen
Spectre,245000000,880674609,148,4466,moyen
The Dark Knight Rises,250000000,1084939099,165,9106,bien
John Carter,260000000,284139100,132,2124,moyen
Spider-Man 3,258000000,890871626,139,3576,moyen
Tangled,260000000,591794936,100,3330,moyen
Avengers: Age of Ultron,280000000,1405403694,141,6767,moyen
Harry Potter and the Half-Blood Prince,250000000,933959197,153,5293,moyen
Batman v Superman: Dawn of Justice,250000000,873260194,151,7004,moyen
Superman Returns,270000000,391081192,154,1400,moyen
Quantum of Solace,200000000,586090727,106,2965,moyen
Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,151,5246,moyen
The Lone Ranger,255000000,89289910,149,2311,moyen
Man of Steel,225000000,662845518,143,6359,moyen
The Chronicles of Narnia: Prince Caspian,225000000,419651413,150,1630,moyen
The Avengers,220000000,1519557910,143,11776,moyen
Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,136,4948,moyen
Men in Black 3,225000000,624026776,106,4160,moyen
The Hobbit: The Battle of the Five Armies,250000000,956019788,144,4760,moyen
The Amazing Spider-Man,215000000,752215857,136,6586,moyen
Robin Hood,200000000,310669540,140,1398,moyen
The Hobbit: The Desolation of Smaug,250000000,958400000,161,4524,bien
The Golden Compass,180000000,372234864,113,1303,moyen
King Kong,207000000,550000000,187,2337,moyen
Titanic,200000000,1845034188,194,7562,moyen
Captain America: Civil War,250000000,1153304495,147,7241,moyen
Battleship,209000000,303025485,131,2114,moyen
Jurassic World,150000000,1513528810,124,8662,moyen
Skyfall,200000000,1108561013,143,7604,moyen
Spider-Man 2,200000000,783766341,127,4321,moyen
Iron Man 3,200000000,1215439994,130,8806,moyen
Alice in Wonderland,200000000,1025491110,108,4645,moyen
X-Men: The Last Stand,210000000,459359555,104,3525,moyen
Monsters University,200000000,743559607,104,3528,moyen
Transformers: Revenge of the Fallen,150000000,836297228,150,3138,moyen
Transformers: Age of Extinction,210000000,1091405097,165,3095,moyen
Oz: The Great and Powerful,200000000,491868548,130,3530,moyen
The Amazing Spider-Man 2,200000000,705717432,142,4179,moyen
TRON: Legacy,170000000,400062763,125,2841,moyen
Cars 2,200000000,559852396,106,2033,moyen
Green Lantern,200000000,219851172,114,2487,moyen
Toy Story 3,200000000,1066969703,103,4597,bien
Terminator Salvation,200000000,371353001,115,2463,moyen
Furious 7,190000000,1506249360,137,4176,moyen
World War Z,200000000,531865000,116,5560,moyen
X-Men: Days of Future Past,250000000,747862775,131,6032,moyen
Star Trek Into Darkness,190000000,467365246,132,4418,moyen
Jack the Giant Slayer,195000000,197687603,114,2598,moyen
The Great Gatsby,105000000,351040419,143,3769,moyen
Prince of Persia: The Sands of Time,150000000,335154643,116,2317,moyen
Pacific Rim,180000000,407602906,131,4794,moyen
Transformers: Dark of the Moon,195000000,1123746996,154,3299,moyen
Indiana Jones and the Kingdom of the Crystal Skull,185000000,786636033,122,2495,moyen
The Good Dinosaur,175000000,331926147,93,1736,moyen
Brave,185000000,538983207,93,4641,moyen
Star Trek Beyond,185000000,343471816,122,2568,moyen
WALL·E,180000000,521311860,98,6296,bien
Rush Hour 3,140000000,258022233,91,783,moyen
2012,200000000,769653595,158,4903,moyen
A Christmas Carol,200000000,325233863,96,1095,moyen
Jupiter Ascending,176000003,183987723,124,2768,moyen
The Legend of Tarzan,180000000,356743061,109,2430,moyen
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,748806957,143,2629,moyen
X-Men: Apocalypse,178000000,543934787,144,4721,moyen
The Dark Knight,185000000,1004558444,152,12002,bien
Up,175000000,735099082,96,6870,bien
Monsters vs Aliens,175000000,381509870,94,1423,moyen
Iron Man,140000000,585174222,126,8776,moyen
Hugo,170000000,185770160,126,2141,moyen
Wild Wild West,170000000,222104681,106,1020,moyen
The Mummy: Tomb of the Dragon Emperor,145000000,401128639,112,1387,moyen
Suicide Squad,175000000,745000000,123,7458,moyen
Evan Almighty,175000000,173000000,96,1151,moyen
Edge of Tomorrow,178000000,370541256,113,4858,bien
Waterworld,175000000,264218220,135,992,moyen
G.I. Joe: The Rise of Cobra,175000000,302469017,118,1962,moyen
Inside Out,175000000,857611174,94,6560,bien
The Jungle Book,175000000,966550600,106,2892,moyen
Iron Man 2,200000000,623933331,124,6849,moyen
Snow White and the Huntsman,170000000,396600000,127,3118,moyen
